symA,symB,S_cos,S_wcos,S_dot,same_group,period_distance
Cl,Ca,2.592413404958e-01,3.952676739091e-01,3.043791615002e+00,0,1.000000000000e+00
Cl,Sc,7.951152325606e-02,3.435371374346e-01,6.487932351354e-01,0,1.000000000000e+00
Cl,Ti,-6.414469189849e-02,2.229908728081e-01,-7.283784861287e-01,0,1.000000000000e+00
Cl,V,-1.194556929211e-01,1.831812708195e-01,-1.334855043439e+00,0,1.000000000000e+00
Cl,Cr,7.979448702357e-02,3.553144253928e-01,9.927305641184e-01,0,1.000000000000e+00
Cl,Mn,9.610676085217e-02,2.787836278327e-01,1.042548639593e+00,0,1.000000000000e+00
Cl,Fe,7.237405074175e-02,2.954972854752e-01,1.572971167036e+00,0,1.000000000000e+00
Cl,Co,-6.060157986294e-01,-5.507121746730e-01,-1.107364957219e+01,0,1.000000000000e+00
Cl,Ni,5.877233781411e-03,1.422519733539e-01,4.346636978449e-02,0,1.000000000000e+00
Cl,Cu,6.963428785657e-01,7.814725816666e-01,4.491847077547e+00,0,1.000000000000e+00
Cl,Zn,7.439906840496e-01,8.478422253458e-01,7.342327808542e+00,0,1.000000000000e+00
Cl,Ga,4.178006325101e-01,5.021436734454e-01,2.542391521868e+00,0,1.000000000000e+00
Cl,Ge,5.302761258899e-01,6.316812296977e-01,4.749302466100e+00,0,1.000000000000e+00
Cl,As,4.292646485688e-01,4.416000108671e-01,2.655935917301e+00,0,1.000000000000e+00
Cl,Se,7.073095704021e-01,7.921215281702e-01,5.036076711274e+00,0,1.000000000000e+00
Cl,Br,6.662078261868e-01,7.890116965670e-01,7.633666780859e+00,1,1.000000000000e+00
Cl,Kr,4.515115074739e-01,7.530789904207e-01,1.109362329862e+01,0,1.000000000000e+00
Cl,Rb,-2.722926051774e-01,6.714001431541e-02,-2.127664537526e+00,0,2.000000000000e+00
Cl,Sr,-2.340688183775e-03,3.716790199689e-01,-1.671941533982e-02,0,2.000000000000e+00
Cl,Y,-1.601783164591e-01,-6.882544269154e-02,-8.399305308885e+00,0,2.000000000000e+00
